timestamp,operation,controller,details,username,status
Mon May 20 03:36:25 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient3,OK
Mon May 20 03:36:25 EEST 2019,READ,controller.PatientController,Patient reads his data,patient3,OK
Mon May 20 20:33:26 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Mon May 20 20:33:31 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,UNAUTHORIZED
Mon May 20 20:33:39 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Mon May 20 20:34:00 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,,UNAUTHORIZED
Mon May 20 20:34:19 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medd,UNAUTHORIZED
Mon May 20 20:34:26 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient3,OK
Mon May 20 20:41:05 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,,UNAUTHORIZED
Mon May 20 21:59:29 EEST 2019,CREATE,controller.AuthenticationController,User tries to register username=patient1,,BAD_REQUEST
Mon May 20 21:59:39 EEST 2019,CREATE,controller.AuthenticationController,User tries to register username=bogdan,bogdan,OK
Mon May 20 21:59:45 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:03:11 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:03:56 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,UNAUTHORIZED
Mon May 20 22:04:03 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:04:28 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:04:48 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:05:15 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:24:14 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:30:58 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:31:36 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:35:27 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:37:44 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:40:57 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:42:08 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:42:53 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 22:43:26 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:02:45 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:03:23 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:03:23 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:03:23 EEST 2019,READ,controller.MedicController,User reads medic with id=0,,NOT_FOUND
Mon May 20 23:04:17 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:04:34 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:05:34 EEST 2019,READ,controller.MedicController,User reads medic with id=0,,NOT_FOUND
Mon May 20 23:06:01 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:06:01 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:06:17 EEST 2019,READ,controller.MedicController,User reads medic with id=0,,NOT_FOUND
Mon May 20 23:07:14 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:07:14 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:08:19 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:08:19 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:09:44 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:09:44 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:10:14 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:10:14 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:18:43 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:18:44 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:19:17 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:19:17 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:21:17 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:21:17 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:32:08 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:32:08 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:32:56 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:32:57 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:33:30 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:33:30 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:33:54 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:33:55 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:34:14 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:34:14 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:42:20 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:42:20 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:42:51 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:42:51 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:42:51 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:43:30 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:43:31 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:43:31 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:44:06 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:44:06 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:44:28 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:47:10 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:47:10 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:47:10 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:48:17 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:48:17 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:48:17 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:51:04 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:51:04 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:51:04 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:51:49 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:51:49 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:51:56 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:56:11 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Mon May 20 23:56:11 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Mon May 20 23:56:11 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:56:14 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Mon May 20 23:56:18 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=neuro,,OK
Mon May 20 23:56:23 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=cardio,,OK
Mon May 20 23:56:28 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:00:33 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:00:33 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:00:33 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:08:05 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:08:05 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:08:05 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:08:38 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:08:38 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:08:39 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:09:12 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:09:12 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:09:12 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:10:42 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 00:10:42 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 00:10:42 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:10:45 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=1,bogdan,OK
Tue May 21 00:10:48 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=3,bogdan,OK
Tue May 21 00:11:06 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=1,bogdan,OK
Tue May 21 00:11:46 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=neuro,,OK
Tue May 21 00:11:52 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=3,bogdan,OK
Tue May 21 00:27:25 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:27:25 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:27:25 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:27:25 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:28:29 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient,UNAUTHORIZED
Tue May 21 00:28:32 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:28:32 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:28:32 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:28:32 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:29:32 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:29:33 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:29:33 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:29:33 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:30:04 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:30:04 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:30:04 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:30:04 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:30:04 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:31:25 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 00:36:00 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 00:36:27 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:36:27 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:36:27 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:36:27 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:36:28 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:36:28 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 00:40:11 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 00:40:19 EEST 2019,CREATE,controller.CaseController,Patient creates case,patient1,OK
Tue May 21 00:40:54 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient3,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.PatientController,Patient reads his data,patient3,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.PatientController,Patient reads his data,patient3,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.MedicController,User reads medic with id=3,,OK
Tue May 21 00:40:54 EEST 2019,READ,controller.CaseController,Read case with id=3,patient3,OK
Tue May 21 00:44:10 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 00:44:10 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 00:58:33 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 00:58:33 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 00:59:14 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 00:59:14 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 00:59:43 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 00:59:43 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:02:46 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:02:46 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:06:55 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:06:55 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:10:03 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,UNAUTHORIZED
Tue May 21 01:10:07 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:10:07 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:10:07 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:10:14 EEST 2019,UPDATE,controller.MedicController,Medic adds specialization myspec1,medic1,OK
Tue May 21 01:10:31 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:10:31 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:10:31 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:12:08 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 01:12:08 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 01:12:08 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 01:12:08 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 01:12:20 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=1,bogdan,OK
Tue May 21 01:12:29 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=cardio,,OK
Tue May 21 01:12:34 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=neuro,,OK
Tue May 21 01:12:48 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.CaseController,Read case with id=4,patient1,OK
Tue May 21 01:13:19 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:13:19 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:13:19 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:31:02 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.MedicController,Medic reads his data,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.MedicController,Medic reads his data,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.MedicController,Medic reads his patient requests,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.MedicController,Medic reads his data,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.CaseController,Read case with id=1,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.CaseController,Read case with id=3,medic2,OK
Tue May 21 01:31:20 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.MedicController,Medic reads his patient requests,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.PatientController,User reads data from patient with id=5,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.PatientController,User reads data from patient with id=18,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.CaseController,Read case with id=1,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.CaseController,Read case with id=3,medic1,OK
Tue May 21 01:31:20 EEST 2019,READ,controller.CaseController,Read case with id=4,medic1,OK
